ID,Waist,Hip,Gender,W2H_Ratio
1,30,32,M,0.9375
2,32,37,M,0.8648648648648649
3,30,36,M,0.8333333333333334
4,33,39,M,0.8461538461538461
5,29,33,M,0.8787878787878788
6,32,38,M,0.8421052631578947
7,33,42,M,0.7857142857142857
8,30,40,M,0.75
9,30,37,M,0.8108108108108109
10,32,39,M,0.8205128205128205
11,24,35,F,0.6857142857142857
12,25,37,F,0.6756756756756757
13,24,37,F,0.6486486486486487
14,22,34,F,0.6470588235294118
15,26,38,F,0.6842105263157895
16,26,37,F,0.7027027027027027
17,25,38,F,0.6578947368421053
18,26,37,F,0.7027027027027027
19,28,40,F,0.7
20,23,35,F,0.6571428571428571
